cik,fy,bankrupt_2y,assets,liabilities,current_assets,current_liabilities,cash,inventory,receivables,equity,retained_earnings,revenue,cogs,gross_profit,operating_income,net_income,rd_expense,sga_expense,interest_expense,depreciation,short_debt,long_debt,total_debt,debt,leverage_liabilities_assets,leverage_debt_assets,debt_equity,roa,asset_turnover,current_ratio,asset_growth,revenue_growth,lag_assets,lag_revenue,lag_roa,lag_leverage_debt_assets
1426011,2011,0,13188,74404,,,,2956,,-93760,-93760,,34003,,,-32537,,48586,,,,,,,5.641795571731877,0,0,-2.4671671216257205,,,,,,,,
1431824,2011,0,238601000,277723000,55870000,41282000,,30795000,17965000,4138000,-167085000,183674000,,14742000,-106198000,-54523000,,15963000,22782000,,9890000,197000000,,206890000,1.1639641074429696,0.8670961144337199,49.99758337361044,-0.22851119651635995,0.7697956001860847,1.3533743520178285,,,,,,
1442634,2011,0,62690,,158265,3191539,1461,,128886,-10396801,-10396801,1004176,,-44264,-2674385,0,,,602756,,,,,,,0,0,0,16.018120912426223,0.04958892872686187,,,,,,
1445635,2011,0,30584,185696,,230952,185,,,27115,,,,,-41854,-93206,,,3195,,,,,,6.071671462202459,0,0,-3.0475411980120324,,NaN,,,,,,
1469038,2011,0,,,,,,,,0,,,,17231,,-54340,,,,,,,,,,,,,,,,,,,,
14693,2011,0,3383000000,1488000000,1527000000,546000000,119000000,651000000,418000000,74000000,2464000000,,,1577000000,661000000,435000000,,548000000,37000000,55000000,188000000,511000000,,699000000,0.4398462902749039,0.20662134200413834,9.445945945945946,0.12858409695536507,,2.7967032967032965,,,,,,
1473490,2011,0,48276,,48276,337737,,,9154,-466122,-466122,40950,,,,-267337,,,218965,,,,,,,0,0,-5.537679178059491,0.8482475764354959,0.14293962461915632,,,,,,
1474735,2011,0,1552793000,,383265000,165390000,81229000,,,-202116000,,,,294654000,112981000,0,14700000,,27397000,,,657229000,,657229000,,0.42325602961888675,-3.25174157414554,0,,2.3173408307636496,,,,,,
1478682,2011,0,10603,,51098,210043,3000,,,325070,,,78603,11000,-61654,-87081,,,2504,,,,,,,0,0,-8.212864283693294,,0.24327399627695281,,,,,,
1481504,2011,0,,,39554,2802,,,1550,100,-38348,,,,,-38223,,,,,,,,,,,0,,,14.116345467523198,,,,,,
1482512,2011,0,1152791000,,,,13705000,,4478000,221731000,-3482000,,,,10208000,-3219000,,,,,,,,,,0,0,-0.002792353514210295,,,,,,,,
14846,2011,0,191012000,55283000,,,58497000,,,121000,-77015000,8135000,,,-24175000,6374000,,,,1686000,,,,,0.2894216070194543,0,0,0.03336963122735744,0.042588947291269656,,,,,,,
1485964,2011,0,545937000,431577000,,,88634000,,,-5213000,53677000,,,,,,,,8687000,,,,,,0.7905252803894955,0,0,,,,,,,,,
1487906,2011,0,0,54525,,141,0,,,-1139,,0,,,-37023,-37358,,,3063,,,,,,,,0,,,NaN,,,,,,
1487952,2011,0,256605000,71783000,174132000,,82245000,49098000,33988000,-13196000,16665000,238107000,,77128000,7301000,59000,,66847000,276000,11465000,,11463000,,11463000,0.2797412365308548,0.044671771789326006,-0.8686723249469536,0.00022992537168020887,0.9279125504179576,,,,,,,
1491471,2011,0,,,27417,12031,,,,-15823,,,,,,-43422,,,,,,,,,,,0,,,2.2788629374116867,,,,,,
1498148,2011,0,128760,102325,41527,326632,0,17135,0,1850,-35065,72256,,0,-35065,-4088407,,4113886,14373,8165,,,,,0.7946955576265922,0,0,-31.752151289220254,0.5611680646163405,0.12713696147346248,,,,,,
1498380,2011,0,,76810,7492,,,,,2400,,,,,,-66056,,,7314,0,,,,,,,0,,,,,,,,,
1499197,2011,0,101096,132234,41096,112234,,,,-31138,,,,,,-159813,,,,,,,,,1.3080042731660995,0,0,-1.5808043839518873,,0.3661635511520573,,,,,,
1505611,2011,0,,27661216,17864748,24103866,,898465,,-2870525,-11576776,58358906,46367738,10852713,-1605973,-5168027,,13597141,,31702,,,,,,,0,,,0.7411569579751232,,,,,,
1515980,2011,0,,1212341000,,,,,,204586000,,,,,,,,,,,,,,,,,0,,,,,,,,,
1517007,2011,0,,,,101501000,42099000,,,,,777408000,,,94915000,0,,126941000,50199000,78719000,,809808000,,809808000,,,,,,NaN,,,,,,
